Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,AI_User_Segment,GPA_Gap
100001,Humanities,Senior,2.418,23.31,Copywriting/Drafting,Beginner,1.0,True,8.13,5.0,Allowed_With_Citation,6.0,2.393,86.44,High,Heavy,-0.025
100002,Medical,Junior,3.821,1.12,Ideation,Advanced,5.0,False,16.65,3.0,Allowed_With_Citation,9.0,3.696,69.39,Low,Light,-0.125
100003,Business,Freshman,3.398,21.26,Summarizing_Reading,Beginner,2.0,False,10.35,5.0,Strict_Ban,9.0,3.499,73.93,Medium,Heavy,0.101
100004,Business,Senior,3.789,1.82,Copywriting/Drafting,Intermediate,4.0,False,15.23,2.0,Allowed_With_Citation,2.0,4.0,63.58,Medium,Light,0.211
100005,STEM,Sophomore,3.635,9.29,Debugging/Troubleshooting,Advanced,4.0,False,12.55,4.0,Allowed_With_Citation,4.0,3.798,100.0,Medium,Moderate,0.163
100006,STEM,Junior,3.449,6.5,Debugging/Troubleshooting,Beginner,1.0,False,14.19,4.0,Allowed_With_Citation,5.0,3.666,65.92,High,Moderate,0.217
100007,STEM,Freshman,3.622,31.41,Summarizing_Reading,Advanced,5.0,True,13.11,8.0,Allowed_With_Citation,7.0,4.0,67.97,Medium,Heavy,0.378
100008,Arts,Junior,2.746,5.33,Copywriting/Drafting,Intermediate,3.0,False,18.45,2.0,Actively_Encouraged,1.0,2.965,85.09,Medium,Moderate,0.219
100009,Business,Sophomore,3.42,2.0,Debugging/Troubleshooting,Beginner,2.0,True,2.87,1.0,Strict_Ban,5.0,3.396,55.71,Medium,Light,-0.024
100010,Business,Sophomore,3.046,19.99,Debugging/Troubleshooting,Intermediate,2.0,True,12.49,3.0,Strict_Ban,8.0,2.978,87.18,High,Heavy,-0.068
100011,STEM,Graduate,3.407,5.16,Summarizing_Reading,Advanced,3.0,False,11.43,5.0,Allowed_With_Citation,3.0,3.617,95.42,High,Moderate,0.21
100012,Medical,Junior,2.627,3.62,Direct_Answer_Generation,Intermediate,3.0,False,8.05,3.0,Actively_Encouraged,3.0,2.699,72.41,Medium,Light,0.072
100013,Arts,Senior,3.479,2.86,Copywriting/Drafting,Beginner,2.0,False,8.95,2.0,Actively_Encouraged,4.0,3.612,67.68,High,Light,0.133
100014,STEM,Junior,3.225,8.95,Direct_Answer_Generation,Beginner,1.0,False,25.3,2.0,Allowed_With_Citation,3.0,3.935,64.47,Medium,Moderate,0.71
100015,STEM,Freshman,3.202,1.22,Copywriting/Drafting,Beginner,1.0,False,16.52,2.0,Allowed_With_Citation,4.0,3.122,70.7,Low,Light,-0.08
100016,STEM,Senior,2.076,14.74,Debugging/Troubleshooting,Beginner,1.0,True,12.59,4.0,Allowed_With_Citation,4.0,2.228,70.66,Medium,Moderate,0.152
100017,Humanities,Sophomore,2.931,2.08,Direct_Answer_Generation,Advanced,3.0,False,15.15,5.0,Strict_Ban,8.0,3.214,59.69,Medium,Light,0.283
100018,Business,Senior,3.156,8.03,Direct_Answer_Generation,Advanced,4.0,False,10.7,4.0,Allowed_With_Citation,5.0,3.39,90.65,Medium,Moderate,0.234
100019,Humanities,Junior,2.975,0.51,Summarizing_Reading,Beginner,1.0,False,10.84,1.0,Allowed_With_Citation,2.0,3.412,53.95,Medium,Light,0.437
100020,STEM,Sophomore,3.305,0.2,Debugging/Troubleshooting,Intermediate,4.0,False,3.69,1.0,Allowed_With_Citation,4.0,3.187,74.23,Medium,Light,-0.118
100021,Business,Sophomore,2.636,1.63,Copywriting/Drafting,Intermediate,4.0,False,18.71,4.0,Strict_Ban,3.0,2.758,78.28,Low,Light,0.122
100022,STEM,Senior,3.529,4.91,Debugging/Troubleshooting,Beginner,1.0,False,15.78,2.0,Allowed_With_Citation,6.0,3.358,67.56,Low,Light,-0.171
100023,STEM,Junior,3.551,10.48,Copywriting/Drafting,Intermediate,2.0,True,2.75,2.0,Allowed_With_Citation,3.0,3.749,68.81,Medium,Moderate,0.198
100024,Humanities,Senior,3.579,0.45,Ideation,Beginner,1.0,True,10.61,1.0,Allowed_With_Citation,8.0,3.76,55.33,Low,Light,0.181
100025,Humanities,Freshman,2.364,28.72,Copywriting/Drafting,Beginner,1.0,False,8.24,8.0,Strict_Ban,7.0,2.588,63.38,Medium,Heavy,0.224
100026,Arts,Senior,3.308,2.38,Ideation,Advanced,4.0,True,11.33,2.0,Actively_Encouraged,2.0,4.0,81.85,High,Light,0.692
100027,STEM,Sophomore,3.338,18.62,Debugging/Troubleshooting,Advanced,5.0,True,14.29,6.0,Allowed_With_Citation,2.0,3.822,82.36,Medium,Heavy,0.484
100028,Business,Junior,3.302,23.96,Ideation,Intermediate,2.0,True,6.54,5.0,Allowed_With_Citation,1.0,3.487,67.74,High,Heavy,0.185
100029,Business,Freshman,3.282,0.68,Ideation,Beginner,1.0,False,17.89,1.0,Actively_Encouraged,4.0,3.088,74.67,Low,Light,-0.194
100030,STEM,Sophomore,3.638,12.83,Debugging/Troubleshooting,Advanced,4.0,True,10.25,5.0,Allowed_With_Citation,4.0,4.0,61.29,Medium,Moderate,0.362
100031,Business,Senior,3.731,1.26,Direct_Answer_Generation,Intermediate,4.0,True,16.16,2.0,Allowed_With_Citation,6.0,3.989,88.44,Low,Light,0.258
100032,STEM,Sophomore,1.449,0.72,Debugging/Troubleshooting,Intermediate,2.0,False,11.77,5.0,Allowed_With_Citation,5.0,1.342,56.81,Medium,Light,-0.107
100033,STEM,Graduate,2.856,1.27,Direct_Answer_Generation,Advanced,3.0,False,16.16,3.0,Allowed_With_Citation,5.0,3.276,74.03,Medium,Light,0.42
100034,Medical,Senior,3.148,5.56,Summarizing_Reading,Intermediate,5.0,False,9.89,2.0,Allowed_With_Citation,1.0,3.335,89.14,Medium,Moderate,0.187
100035,Medical,Graduate,3.12,19.92,Summarizing_Reading,Beginner,2.0,True,1.0,7.0,Allowed_With_Citation,3.0,3.207,67.2,High,Heavy,0.087
100036,Arts,Sophomore,3.632,1.17,Direct_Answer_Generation,Intermediate,4.0,True,3.67,2.0,Strict_Ban,5.0,3.553,55.89,High,Light,-0.079
100037,Humanities,Freshman,3.303,0.29,Copywriting/Drafting,Advanced,3.0,False,7.46,1.0,Allowed_With_Citation,5.0,3.145,75.11,Low,Light,-0.158
100038,STEM,Junior,3.671,16.77,Debugging/Troubleshooting,Intermediate,3.0,True,1.0,5.0,Allowed_With_Citation,4.0,3.636,96.68,Low,Heavy,-0.035
100039,Business,Sophomore,2.403,1.58,Ideation,Intermediate,4.0,True,13.34,1.0,Allowed_With_Citation,5.0,2.365,74.3,High,Light,-0.038
100040,Humanities,Junior,3.086,4.19,Debugging/Troubleshooting,Intermediate,3.0,False,10.81,2.0,Actively_Encouraged,2.0,3.452,92.44,Medium,Light,0.366
100041,STEM,Senior,2.31,7.17,Debugging/Troubleshooting,Advanced,3.0,True,8.95,5.0,Allowed_With_Citation,8.0,2.686,84.71,Medium,Moderate,0.376
100042,Humanities,Senior,3.539,0.41,Summarizing_Reading,Beginner,3.0,True,11.3,1.0,Allowed_With_Citation,5.0,3.812,72.05,Low,Light,0.273
100043,STEM,Freshman,3.777,8.06,Debugging/Troubleshooting,Beginner,3.0,False,8.42,3.0,Allowed_With_Citation,4.0,3.909,68.22,Medium,Moderate,0.132
100044,Medical,Senior,3.048,4.67,Summarizing_Reading,Beginner,3.0,False,8.21,4.0,Strict_Ban,4.0,3.277,79.79,Medium,Light,0.229
100045,STEM,Junior,3.013,14.47,Debugging/Troubleshooting,Intermediate,3.0,False,9.36,4.0,Allowed_With_Citation,7.0,3.447,62.75,Low,Moderate,0.434
100046,Business,Junior,3.503,6.34,Ideation,Intermediate,2.0,False,21.22,2.0,Strict_Ban,5.0,3.942,99.25,Low,Moderate,0.439
100047,Humanities,Sophomore,3.842,6.26,Copywriting/Drafting,Intermediate,1.0,False,11.84,4.0,Allowed_With_Citation,3.0,4.0,76.67,Medium,Moderate,0.158
100048,Business,Junior,3.511,8.04,Direct_Answer_Generation,Beginner,2.0,True,10.5,2.0,Actively_Encouraged,3.0,3.567,86.73,Medium,Moderate,0.056
100049,Business,Senior,2.645,8.78,Ideation,Intermediate,3.0,False,5.97,1.0,Strict_Ban,3.0,2.884,87.51,High,Moderate,0.239
100050,STEM,Senior,3.115,13.39,Summarizing_Reading,Intermediate,2.0,True,20.87,5.0,Allowed_With_Citation,4.0,3.644,83.76,Medium,Moderate,0.529
100051,Medical,Sophomore,3.577,11.13,Summarizing_Reading,Advanced,4.0,True,15.85,3.0,Strict_Ban,6.0,4.0,61.2,High,Moderate,0.423
100052,Arts,Senior,2.433,11.16,Debugging/Troubleshooting,Beginner,2.0,True,12.82,6.0,Actively_Encouraged,5.0,2.903,69.95,High,Moderate,0.47
100053,Medical,Sophomore,2.958,11.36,Summarizing_Reading,Intermediate,3.0,True,9.52,5.0,Allowed_With_Citation,6.0,3.155,59.46,Low,Moderate,0.197
100054,Medical,Senior,3.732,0.88,Ideation,Intermediate,4.0,True,12.87,4.0,Allowed_With_Citation,1.0,3.885,79.82,Medium,Light,0.153
100055,Business,Junior,3.148,0.16,Summarizing_Reading,Beginner,1.0,False,15.1,2.0,Allowed_With_Citation,5.0,3.393,62.77,Medium,Light,0.245
100056,Medical,Senior,3.429,20.48,Direct_Answer_Generation,Beginner,2.0,True,4.24,6.0,Actively_Encouraged,2.0,3.521,63.38,High,Heavy,0.092
100057,STEM,Junior,3.837,2.23,Ideation,Advanced,4.0,True,14.06,4.0,Strict_Ban,4.0,3.988,60.88,Medium,Light,0.151
100058,STEM,Sophomore,3.249,9.77,Ideation,Advanced,3.0,True,17.42,4.0,Allowed_With_Citation,4.0,3.342,80.19,Medium,Moderate,0.093
100059,STEM,Junior,3.015,2.7,Debugging/Troubleshooting,Beginner,2.0,False,18.28,3.0,Allowed_With_Citation,4.0,3.394,83.39,Medium,Light,0.379
100060,Humanities,Sophomore,3.167,14.92,Summarizing_Reading,Beginner,2.0,False,10.74,2.0,Strict_Ban,8.0,3.518,70.28,Medium,Moderate,0.351
100061,Humanities,Sophomore,3.697,6.6,Ideation,Advanced,3.0,False,10.29,4.0,Strict_Ban,5.0,3.914,77.49,Low,Moderate,0.217
100062,STEM,Freshman,3.463,2.47,Debugging/Troubleshooting,Intermediate,3.0,False,8.94,1.0,Allowed_With_Citation,1.0,3.665,60.08,Medium,Light,0.202
100063,Arts,Senior,2.164,17.37,Copywriting/Drafting,Beginner,1.0,False,10.06,6.0,Strict_Ban,5.0,2.339,77.44,High,Heavy,0.175
100064,Humanities,Freshman,2.771,7.02,Copywriting/Drafting,Intermediate,4.0,False,13.18,2.0,Allowed_With_Citation,3.0,2.896,57.43,Low,Moderate,0.125
